Time segment,qunatile,variable,value
1,low,HRMin,1.1509244501037277
1,low,TAverage,0.8533345008646589
1,low,TMin,0.37948206022984005
1,low,HRMax,0.9697619668881937
1,low,HRAverage,6.671527915078449
1,low,WindSpeed,1.262803371973947
1,low,TMax,0.030587227518344286
1,low,Rg,0.6005583108077446
1,low,Rainfall,0.36171508447849365
1,very low,HRMin,0.9147693399904885
1,very low,TAverage,0.5073392742259124
1,very low,TMin,0.1161942385851639
1,very low,HRMax,0.5508210868228299
1,very low,HRAverage,4.957543070587379
1,very low,WindSpeed,0.5640507425533011
1,very low,TMax,0.035216345379556195
1,very low,Rg,0.6496866197107253
1,very low,Rainfall,2.902840585308212
1,high very,HRMin,2.862839183537941
1,high very,TAverage,0.16914851350769727
1,high very,TMin,0.13374062978273957
1,high very,HRMax,0.2874148562808536
1,high very,HRAverage,10.539825877876604
1,high very,WindSpeed,1.1476752743868783
1,high very,TMax,0.6292872969361617
1,high very,Rg,0.4026972798894754
1,high very,Rainfall,0.15260350469862305
1,high,HRMin,2.03629744628414
1,high,TAverage,0.16996761951049497
1,high,TMin,0.3195227057256558
1,high,HRMax,0.7388425626800929
1,high,HRAverage,10.57128086633323
1,high,WindSpeed,0.16669245120839385
1,high,TMax,0.0
1,high,Rg,0.4501150672336801
1,high,Rainfall,0.07180250886630349
2,low,HRMin,0.094690940026451
2,low,TAverage,0.7259458733858112
2,low,TMin,0.8072890735420256
2,low,HRMax,2.68766557213799
2,low,HRAverage,0.3450653499063304
2,low,WindSpeed,1.7125236516212161
2,low,TMax,0.05161066765894863
2,low,Rg,0.37057476369259784
2,low,Rainfall,0.21782870904887403
2,very low,HRMin,0.5035928131541245
2,very low,TAverage,0.15811798331170404
2,very low,TMin,0.3846103482352427
2,very low,HRMax,2.9250260804436117
2,very low,HRAverage,0.3446908988722294
2,very low,WindSpeed,0.8601701301084521
2,very low,TMax,0.12709394483990782
2,very low,Rg,0.5600378405195912
2,very low,Rainfall,0.7183318148440525
2,high very,HRMin,0.5128243333461526
2,high very,TAverage,0.7505389305061104
2,high very,TMin,0.12544060940162124
2,high very,HRMax,0.5660026603010629
2,high very,HRAverage,3.0146423678656262
2,high very,WindSpeed,2.957088733723425
2,high very,TMax,0.41152016790568224
2,high very,Rg,0.15842425658823095
2,high very,Rainfall,0.10713461439543313
2,high,HRMin,0.17004962186150124
2,high,TAverage,0.5415250700994825
2,high,TMin,0.19070458386319492
2,high,HRMax,0.10814835067138015
2,high,HRAverage,1.7040609819411832
2,high,WindSpeed,0.271767025897013
2,high,TMax,0.0
2,high,Rg,0.1134604004155689
2,high,Rainfall,0.17495353737200467
3,low,HRMin,0.7876187969962989
3,low,TAverage,0.3841686712763549
3,low,TMin,0.12473780518580087
3,low,HRMax,0.7465324017039195
3,low,HRAverage,0.48542732343872075
3,low,WindSpeed,1.1969810980259177
3,low,TMax,0.04884134685910434
3,low,Rg,0.4144566040464393
3,low,Rainfall,0.4262172552454405
3,very low,HRMin,0.6266993340925682
3,very low,TAverage,0.27583189658136886
3,very low,TMin,0.031516741082086054
3,very low,HRMax,0.7478360832091816
3,very low,HRAverage,0.8268102672961392
3,very low,WindSpeed,1.076855228531295
3,very low,TMax,0.017208421657804056
3,very low,Rg,0.46008053006121147
3,very low,Rainfall,0.03103320689178274
3,high very,HRMin,0.3084102685907865
3,high very,TAverage,0.05073058519410233
3,high very,TMin,0.08552190027474615
3,high very,HRMax,0.961860214537125
3,high very,HRAverage,0.5752323822194343
3,high very,WindSpeed,0.31041501984436
3,high very,TMax,0.10852559490371548
3,high very,Rg,0.930387453493927
3,high very,Rainfall,0.02270015876071694
3,high,HRMin,0.15987587812655568
3,high,TAverage,0.3252963204929113
3,high,TMin,0.1619604263754975
3,high,HRMax,0.29385506949988593
3,high,HRAverage,0.44437065454196484
3,high,WindSpeed,0.1138327261152224
3,high,TMax,0.0
3,high,Rg,0.033353779019461356
3,high,Rainfall,0.07067555819171663
4,low,HRMin,5.077461459762179
4,low,TAverage,0.4331199029703604
4,low,TMin,0.5270611316513497
4,low,HRMax,4.933766637376465
4,low,HRAverage,2.3235079410723003
4,low,WindSpeed,3.4125023670794197
4,low,TMax,0.0147263352476456
4,low,Rg,0.2270531543170848
4,low,Rainfall,0.36076448337489864
4,very low,HRMin,3.9705085595178433
4,very low,TAverage,0.3389296641539839
4,very low,TMin,0.10684916821125603
4,very low,HRMax,2.257656453461816
4,very low,HRAverage,8.431579904442852
4,very low,WindSpeed,0.9842567608948284
4,very low,TMax,0.013707919575086259
4,very low,Rg,0.23092362890171034
4,very low,Rainfall,0.19921488628355813
4,high very,HRMin,0.875063669550917
4,high very,TAverage,0.6347734595915749
4,high very,TMin,0.15062869256578965
4,high very,HRMax,1.7884282002160392
4,high very,HRAverage,0.41914857736730404
4,high very,WindSpeed,4.1636349911301584
4,high very,TMax,0.21677774411273515
4,high very,Rg,0.05051898459020649
4,high very,Rainfall,0.14309016564378074
4,high,HRMin,0.27027797640958773
4,high,TAverage,0.4938019934652721
4,high,TMin,0.12785436370989192
4,high,HRMax,0.2700914778816274
4,high,HRAverage,0.40493192128202915
4,high,WindSpeed,4.8565185556154375
4,high,TMax,0.0
4,high,Rg,0.1667161915867562
4,high,Rainfall,0.07049915450472322
5,low,HRMin,2.3374853321904965
5,low,TAverage,0.4963614972759051
5,low,TMin,0.10149439398864328
5,low,HRMax,0.42441858137589833
5,low,HRAverage,2.49059552635207
5,low,WindSpeed,1.2346544355389024
5,low,TMax,0.0
5,low,Rg,3.0031807105426305
5,low,Rainfall,0.23200852967189578
5,very low,HRMin,0.8320903178608723
5,very low,TAverage,0.3209057228704569
5,very low,TMin,0.18243920993581858
5,very low,HRMax,0.062023539187906186
5,very low,HRAverage,8.425929981513766
5,very low,WindSpeed,0.15842107418313892
5,very low,TMax,0.0
5,very low,Rg,3.2605515572452264
5,very low,Rainfall,0.09205084737190031
5,high very,HRMin,0.7029730748216323
5,high very,TAverage,0.08071702390054133
5,high very,TMin,0.02412427984678194
5,high very,HRMax,0.6953379473942186
5,high very,HRAverage,1.7103106902565368
5,high very,WindSpeed,1.099325774431022
5,high very,TMax,0.325540334928494
5,high very,Rg,1.8038139427953919
5,high very,Rainfall,0.08074231109257816
5,high,HRMin,0.45239841071148573
5,high,TAverage,0.08749918826167485
5,high,TMin,0.07499223813591241
5,high,HRMax,0.3604208500844584
5,high,HRAverage,1.887305689450087
5,high,WindSpeed,1.9349881354306688
5,high,TMax,0.0
5,high,Rg,0.22953917409589927
5,high,Rainfall,0.17061489405632416
6,low,HRMin,0.5402272417570637
6,low,TAverage,0.5379893184377291
6,low,TMin,0.32988898137078077
6,low,HRMax,0.17280351626773535
6,low,HRAverage,2.930285370932589
6,low,WindSpeed,0.7172321093954125
6,low,TMax,0.0
6,low,Rg,0.3846991759996083
6,low,Rainfall,0.4839546103212642
6,very low,HRMin,0.20771110408132334
6,very low,TAverage,0.6278333181097138
6,very low,TMin,0.09936696606809546
6,very low,HRMax,0.29266336646710545
6,very low,HRAverage,0.5889012171539654
6,very low,WindSpeed,0.06841760351843422
6,very low,TMax,0.042013156755683206
6,very low,Rg,0.3777324616791128
6,very low,Rainfall,0.1169868130976433
6,high very,HRMin,4.11911404828607
6,high very,TAverage,0.2841815680483351
6,high very,TMin,0.9117829975026596
6,high very,HRMax,0.47816063124494923
6,high very,HRAverage,2.984348536471146
6,high very,WindSpeed,1.2120962638841772
6,high very,TMax,0.1671506005326081
6,high very,Rg,0.06819011907959827
6,high very,Rainfall,0.4269054688189713
6,high,HRMin,3.8395363956549327
6,high,TAverage,0.4799206960137082
6,high,TMin,1.2537373555501976
6,high,HRMax,0.4179763271986915
6,high,HRAverage,3.443925564236135
6,high,WindSpeed,1.1601030072089138
6,high,TMax,0.0
6,high,Rg,0.08338996328060821
6,high,Rainfall,1.2067357103065022
7,low,HRMin,1.1310194907643432
7,low,TAverage,5.963641431773205
7,low,TMin,0.14803661863481193
7,low,HRMax,2.459665799800587
7,low,HRAverage,1.8051677755174516
7,low,WindSpeed,3.88469060130848
7,low,TMax,0.0
7,low,Rg,2.9653218543441584
7,low,Rainfall,0.16068587747608945
7,very low,HRMin,0.4925723637329792
7,very low,TAverage,0.4187163582294071
7,very low,TMin,0.17980783577872153
7,very low,HRMax,0.7536509396463316
7,very low,HRAverage,2.1794482285185426
7,very low,WindSpeed,3.2379355273591415
7,very low,TMax,0.013759597302686232
7,very low,Rg,2.8288549876464404
7,very low,Rainfall,0.253350955324847
7,high very,HRMin,0.18688315871382566
7,high very,TAverage,0.20450433166047668
7,high very,TMin,0.5815002872088335
7,high very,HRMax,5.192984550007064
7,high very,HRAverage,0.8380306177228347
7,high very,WindSpeed,4.46978618464206
7,high very,TMax,0.2049905516788601
7,high very,Rg,7.005302157296921
7,high very,Rainfall,0.04586874946718486
7,high,HRMin,0.38092070576395426
7,high,TAverage,0.23867532287518065
7,high,TMin,0.2766452769802154
7,high,HRMax,0.7929003634231386
7,high,HRAverage,0.4190240076337494
7,high,WindSpeed,5.006096543808611
7,high,TMax,0.10612291299412653
7,high,Rg,0.34065463592284384
7,high,Rainfall,0.10908225358842724
